university,city,department,factor,reviewer_type,review_text,rating
CUST,Islamabad,Physics,Cafeteria,Staff,"University: CUST, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints.",3
BNU - Beaconhouse National University,Islamabad,Mechanical Engineering,Faculty,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",3
Rawalpindi Medical University,Rawalpindi,Computer Science,Faculty,Postgraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",4
APCOMS,Rawalpindi,Civil,Overall,Alumni,"University: APCOMS, City: Rawalpindi. Overall: Strong programs in technical fields with good placement pipelines for top students.",5
Quaid-i-Azam University,Islamabad,Electrical Engineering,Hostels,Staff,"University: Quaid-i-Azam University, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security. Strict curfews and slow maintenance responses frustrate many residents.",2
Foundation University Islamabad,Islamabad,Civil,Campus,Faculty,"University: Foundation University Islamabad, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events.",4
NUML,Islamabad,Computer Science,Overall,Faculty,"University: NUML, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Based on informal surveys among peers, this is a recurring pattern.",4
COMSATS,Islamabad,Biology,Faculty,Postgraduate student,"University: COMSATS, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",4
Air University,Islamabad,Electrical Engineering,Faculty,Postgraduate student,"University: Air University, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",2
Riphah International University,Islamabad,Business,Faculty,Undergraduate student,"University: Riphah International University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Several faculty members publish regularly.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Biology,Campus,Postgraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. In Biology, students reported strong project outcomes this year.",5
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Physics,Events,Faculty,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Events: Student societies run well-attended cultural and academic events. Logistics and scheduling conflicts sometimes reduce event quality.",4
FAST-NUCES,Islamabad,Computer Science,Campus,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Older buildings need renovation and signage is insufficient between blocks. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",3
BNU - Beaconhouse National University,Islamabad,Computer Science,Sports,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Sports: Funding for competitive teams is limited and coaching is inconsistent.",3
NUST,Islamabad,Medical,Overall,Postgraduate student,"University: NUST, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Alumni feedback corroborates these points.",5
FAST-NUCES,Islamabad,Economics,Cafeteria,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3
Rawalpindi Medical University,Rawalpindi,Mechanical Engineering,Labs,Staff,"University: Rawalpindi Medical University, City: Rawalpindi. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3
FAST-NUCES,Islamabad,Physics,Faculty,Alumni,"University: FAST-NUCES, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",3
Riphah International University,Islamabad,Economics,Overall,Undergraduate student,"University: Riphah International University, City: Islamabad. Overall: Placement support favours top students; average students find fewer opportunities. Focus groups highlighted these issues during exit interviews.",2
Foundation University Islamabad,Islamabad,Civil,Campus,Undergraduate student,"University: Foundation University Islamabad, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Lab booking logs and placement statistics reflect this trend.",5
NUST,Islamabad,Biology,Campus,Alumni,"University: NUST, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Older buildings need renovation and signage is insufficient between blocks. Lab booking logs and placement statistics reflect this trend.",2
Air University,Islamabad,Economics,Labs,Staff,"University: Air University, City: Islamabad. Labs: Certain lab equipment is dated and booking is competitive, delaying final projects. This aligns with several student forum complaints from last semester. Alumni feedback corroborates these points.",3
Quaid-i-Azam University,Islamabad,Civil,Cafeteria,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Long queues and limited seating during events are frequent complaints. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4
GIKI (commuter students),Rawalpindi,Economics,Resources,Postgraduate student,"University: GIKI (commuter students), City: Rawalpindi. Resources: Recent investments improved library and database subscriptions. Resource allocation can be uneven; some departments report outdated software or restricted hours.",4
Quaid-i-Azam University,Islamabad,Business,Overall,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Overall: Overall positive academic environment with opportunities for research.",4
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Biology,Hostels,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security.",4
Foundation University Islamabad,Islamabad,Computer Science,Hostels,Alumni,"University: Foundation University Islamabad, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security.",4
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Medical,Cafeteria,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Food hygiene and variety are sometimes a concern, especially during busy hours.",4
NUML,Islamabad,Business,Resources,Alumni,"University: NUML, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Resource allocation can be uneven; some departments report outdated software or restricted hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Riphah International University,Islamabad,Business,Overall,Postgraduate student,"University: Riphah International University, City: Islamabad. Overall: Overall positive academic environment with opportunities for research.",3
BNU - Beaconhouse National University,Islamabad,Computer Science,Resources,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work.",4
SZABIST Islamabad,Islamabad,Business,Resources,Undergraduate student,"University: SZABIST Islamabad, City: Islamabad. Resources: Recent investments improved library and database subscriptions. Resource allocation can be uneven; some departments report outdated software or restricted hours.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Electrical Engineering,Management,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. In Electrical Engineering, students reported strong project outcomes this year.",5
NUST,Islamabad,Physics,Management,Undergraduate student,"University: NUST, City: Islamabad. Management: Students report slow responses from some administrative offices during peak periods. Focus groups highlighted these issues during exit interviews. Alumni feedback corroborates these points.",2
APCOMS,Rawalpindi,Computer Science,Labs,Postgraduate student,"University: APCOMS, City: Rawalpindi. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects. Lab booking logs and placement statistics reflect this trend.",2
BNU - Beaconhouse National University,Islamabad,Physics,Faculty,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",4
Rawalpindi Medical University,Rawalpindi,Civil,Campus,Alumni,"University: Rawalpindi Medical University, City: Rawalpindi. Campus: Accessibility gaps remain despite improvements in some areas. Focus groups highlighted these issues during exit interviews.",3
Foundation University Islamabad,Islamabad,Civil,Cafeteria,Staff,"University: Foundation University Islamabad, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams.",2
Quaid-i-Azam University,Islamabad,Economics,Management,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Management: Grievance cells and student helplines exist to address issues.",3
Riphah International University,Islamabad,Economics,Cafeteria,Alumni,"University: Riphah International University, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Long queues and limited seating during events are frequent complaints. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3
Quaid-i-Azam University,Islamabad,Computer Science,Labs,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Certain lab equipment is dated and booking is competitive, delaying final projects.",3
Riphah International University,Islamabad,Economics,Cafeteria,Alumni,"University: Riphah International University, City: Islamabad. Cafeteria: Long queues and limited seating during events are frequent complaints. This aligns with several student forum complaints from last semester. Based on informal surveys among peers, this is a recurring pattern.",3
SZABIST Islamabad,Islamabad,Electrical Engineering,Campus,Faculty,"University: SZABIST Islamabad, City: Islamabad. Campus: Older buildings need renovation and signage is insufficient between blocks. Based on informal surveys among peers, this is a recurring pattern. More networking sessions would help.",2
Quaid-i-Azam University,Islamabad,Physics,Labs,Postgraduate student,"University: Quaid-i-Azam University, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Based on informal surveys among peers, this is a recurring pattern.",1
APCOMS,Rawalpindi,Civil,Hostels,Staff,"University: APCOMS, City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Shared bathrooms and load-shedding affect daily comfort in older hostels. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Foundation University Islamabad,Islamabad,Civil,Faculty,Alumni,"University: Foundation University Islamabad, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Lab booking logs and placement statistics reflect this trend.",3
Foundation University Islamabad,Islamabad,Electrical Engineering,Labs,Staff,"University: Foundation University Islamabad, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework. In Electrical Engineering, students reported strong project outcomes this year.",5
NUST,Islamabad,Electrical Engineering,Management,Faculty,"University: NUST, City: Islamabad. Management: Students report slow responses from some administrative offices during peak periods.",2
BNU - Beaconhouse National University,Islamabad,Business,Overall,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Placement support favours top students; average students find fewer opportunities. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
FAST-NUCES,Islamabad,Physics,Overall,Alumni,"University: FAST-NUCES, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Based on informal surveys among peers, this is a recurring pattern.",4
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Mechanical Engineering,Hostels,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Hostels: Hostels offer secure accommodation with Wi‑Fi and study spaces.",5
COMSATS,Islamabad,Physics,Labs,Faculty,"University: COMSATS, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Certain lab equipment is dated and booking is competitive, delaying final projects. Lab booking logs and placement statistics reflect this trend.",2
SZABIST Islamabad,Islamabad,Mechanical Engineering,Overall,Undergraduate student,"University: SZABIST Islamabad, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Placement support favours top students; average students find fewer opportunities. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3
BNU - Beaconhouse National University,Islamabad,Mechanical Engineering,Overall,Undergraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students.",4
Quaid-i-Azam University,Islamabad,Business,Labs,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Biology,Cafeteria,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams.",3
BNU - Beaconhouse National University,Islamabad,Business,Sports,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Sports: Funding for competitive teams is limited and coaching is inconsistent.",2
Air University,Islamabad,Economics,Management,Alumni,"University: Air University, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve.",3
GIKI (commuter students),Rawalpindi,Business,Events,Alumni,"University: GIKI (commuter students), City: Rawalpindi. Events: Student societies run well-attended cultural and academic events. Event funding fluctuates year-to-year causing some cancellations.",4
Riphah International University,Islamabad,Business,Sports,Staff,"University: Riphah International University, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. In Business, students reported strong project outcomes this year.",4
Riphah International University,Islamabad,Physics,Hostels,Faculty,"University: Riphah International University, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security.",5
Riphah Rawalpindi Campus,Rawalpindi,Physics,Resources,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Resources: Recent investments improved library and database subscriptions. Based on informal surveys among peers, this is a recurring pattern.",5
NUML,Islamabad,Business,Faculty,Postgraduate student,"University: NUML, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations.",2
Rawalpindi Medical University,Rawalpindi,Civil,Cafeteria,Alumni,"University: Rawalpindi Medical University, City: Rawalpindi. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Lab booking logs and placement statistics reflect this trend.",5
FAST-NUCES,Islamabad,Computer Science,Management,Staff,"University: FAST-NUCES, City: Islamabad. Management: Students report slow responses from some administrative offices during peak periods.",3
COMSATS,Islamabad,Mechanical Engineering,Resources,Alumni,"University: COMSATS, City: Islamabad. Resources: Access to paid journals is limited for certain programs, blocking literature reviews. Focus groups highlighted these issues during exit interviews. Lab booking logs and placement statistics reflect this trend.",2
Rawalpindi Medical University,Rawalpindi,Physics,Events,Postgraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Events: Student societies run well-attended cultural and academic events. Logistics and scheduling conflicts sometimes reduce event quality. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. More networking sessions would help.",4
SZABIST Islamabad,Islamabad,Mechanical Engineering,Labs,Undergraduate student,"University: SZABIST Islamabad, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Lab booking logs and placement statistics reflect this trend.",2
NUML,Islamabad,Civil,Sports,Staff,"University: NUML, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Alumni feedback corroborates these points.",5
Riphah International University,Islamabad,Computer Science,Events,Staff,"University: Riphah International University, City: Islamabad. Events: Event funding fluctuates year-to-year causing some cancellations. Focus groups highlighted these issues during exit interviews.",3
NUML,Islamabad,Business,Management,Postgraduate student,"University: NUML, City: Islamabad. Management: Elective approvals and administrative disputes can take several weeks to resolve.",1
Rawalpindi Medical University,Rawalpindi,Mechanical Engineering,Campus,Undergraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Campus: Recent renovations provided improved study pods and accessibility features. Accessibility gaps remain despite improvements in some areas.",2
BNU - Beaconhouse National University,Islamabad,Biology,Management,Alumni,"University: BNU - Beaconhouse National University, City: Islamabad. Management: Students report slow responses from some administrative offices during peak periods.",1
COMSATS,Islamabad,Physics,Sports,Faculty,"University: COMSATS, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Facilities are small for growing interest, with limited coaching staff.",3
COMSATS,Islamabad,Electrical Engineering,Events,Staff,"University: COMSATS, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Logistics and scheduling conflicts sometimes reduce event quality.",4
APCOMS,Rawalpindi,Biology,Overall,Postgraduate student,"University: APCOMS, City: Rawalpindi. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Air University,Islamabad,Mechanical Engineering,Resources,Postgraduate student,"University: Air University, City: Islamabad. Resources: Recent investments improved library and database subscriptions. Access to paid journals is limited for certain programs, blocking literature reviews.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Physics,Faculty,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Faculty: Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Focus groups highlighted these issues during exit interviews.",3
Rawalpindi Medical University,Rawalpindi,Computer Science,Hostels,Postgraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Strict curfews and slow maintenance responses frustrate many residents.",2
GIKI (commuter students),Rawalpindi,Economics,Sports,Staff,"University: GIKI (commuter students), City: Rawalpindi. Sports: Funding for competitive teams is limited and coaching is inconsistent. This aligns with several student forum complaints from last semester. This needs better documentation.",3
BNU - Beaconhouse National University,Islamabad,Physics,Labs,Undergraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects.",4
CUST,Islamabad,Medical,Events,Alumni,"University: CUST, City: Islamabad. Events: Event funding fluctuates year-to-year causing some cancellations.",3
SZABIST Islamabad,Islamabad,Medical,Faculty,Postgraduate student,"University: SZABIST Islamabad, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Alumni feedback corroborates these points.",2
BNU - Beaconhouse National University,Islamabad,Biology,Sports,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Sports: Funding for competitive teams is limited and coaching is inconsistent.",1
APCOMS,Rawalpindi,Physics,Resources,Faculty,"University: APCOMS, City: Rawalpindi. Resources: Resource allocation can be uneven; some departments report outdated software or restricted hours.",3
GIKI (commuter students),Rawalpindi,Electrical Engineering,Labs,Faculty,"University: GIKI (commuter students), City: Rawalpindi. Labs: Practical lab sessions are well-supervised and closely linked to coursework.",5
COMSATS,Islamabad,Medical,Events,Alumni,"University: COMSATS, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Event funding fluctuates year-to-year causing some cancellations.",2
Riphah International University,Islamabad,Biology,Campus,Postgraduate student,"University: Riphah International University, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Older buildings need renovation and signage is insufficient between blocks. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",4
APCOMS,Rawalpindi,Civil,Events,Faculty,"University: APCOMS, City: Rawalpindi. Events: Student societies run well-attended cultural and academic events. Event funding fluctuates year-to-year causing some cancellations.",3
BNU - Beaconhouse National University,Islamabad,Civil,Cafeteria,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams.",5
BNU - Beaconhouse National University,Islamabad,Computer Science,Campus,Undergraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Hostel maintenance needs faster turnaround.",5
Air University,Islamabad,Electrical Engineering,Events,Alumni,"University: Air University, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Event funding fluctuates year-to-year causing some cancellations. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
COMSATS,Islamabad,Physics,Sports,Staff,"University: COMSATS, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff. Focus groups highlighted these issues during exit interviews.",1
Air University,Islamabad,Physics,Faculty,Staff,"University: Air University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship.",5
Foundation University Islamabad,Islamabad,Civil,Sports,Staff,"University: Foundation University Islamabad, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Funding for competitive teams is limited and coaching is inconsistent.",2
Riphah Rawalpindi Campus,Rawalpindi,Biology,Campus,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Campus: Green campus spaces useful for group study and outdoor events. Biology faculty recently collaborated with local industry on projects. Alumni feedback corroborates these points.",5
NUST,Islamabad,Business,Overall,Staff,"University: NUST, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
NUML,Islamabad,Mechanical Engineering,Overall,Postgraduate student,"University: NUML, City: Islamabad. Overall: Overall positive academic environment with opportunities for research.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Electrical Engineering,Management,Postgraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Elective approvals and administrative disputes can take several weeks to resolve. Based on informal surveys among peers, this is a recurring pattern.",2
Rawalpindi Medical University,Rawalpindi,Mechanical Engineering,Faculty,Postgraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations.",2
Air University,Islamabad,Business,Hostels,Undergraduate student,"University: Air University, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security. Strict curfews and slow maintenance responses frustrate many residents. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Riphah International University,Islamabad,Civil,Campus,Alumni,"University: Riphah International University, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Lab booking logs and placement statistics reflect this trend.",5
Rawalpindi Medical University,Rawalpindi,Electrical Engineering,Management,Alumni,"University: Rawalpindi Medical University, City: Rawalpindi. Management: Online portals simplify registration and fee payments; scholarship info is clear.",4
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Physics,Cafeteria,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Mechanical Engineering,Events,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Events: Logistics and scheduling conflicts sometimes reduce event quality. This aligns with several student forum complaints from last semester.",1
COMSATS,Islamabad,Physics,Cafeteria,Undergraduate student,"University: COMSATS, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams.",4
Riphah International University,Islamabad,Civil,Labs,Faculty,"University: Riphah International University, City: Islamabad. Labs: Certain lab equipment is dated and booking is competitive, delaying final projects.",3
Quaid-i-Azam University,Islamabad,Physics,Hostels,Postgraduate student,"University: Quaid-i-Azam University, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security. Based on informal surveys among peers, this is a recurring pattern.",5
Riphah Rawalpindi Campus,Rawalpindi,Biology,Resources,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4
NUST,Islamabad,Electrical Engineering,Events,Postgraduate student,"University: NUST, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Logistics and scheduling conflicts sometimes reduce event quality.",4
Riphah Rawalpindi Campus,Rawalpindi,Mechanical Engineering,Faculty,Alumni,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Faculty: Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Focus groups highlighted these issues during exit interviews.",3
Riphah International University,Islamabad,Medical,Resources,Undergraduate student,"University: Riphah International University, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Resource allocation can be uneven; some departments report outdated software or restricted hours. Alumni feedback corroborates these points.",3
Foundation University Islamabad,Islamabad,Economics,Events,Staff,"University: Foundation University Islamabad, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Economics faculty recently collaborated with local industry on projects.",5
Air University,Islamabad,Mechanical Engineering,Faculty,Faculty,"University: Air University, City: Islamabad. Faculty: Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Focus groups highlighted these issues during exit interviews.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Economics,Campus,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. In Economics, students reported strong project outcomes this year.",4
COMSATS,Islamabad,Biology,Cafeteria,Staff,"University: COMSATS, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Long queues and limited seating during events are frequent complaints. Lab booking logs and placement statistics reflect this trend.",4
CUST,Islamabad,Computer Science,Cafeteria,Staff,"University: CUST, City: Islamabad. Cafeteria: Long queues and limited seating during events are frequent complaints. This aligns with several student forum complaints from last semester. More networking sessions would help.",3
